,상권_코드,분기당_매출_금액,상권_구분_코드_명,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,위도,경도
0,1000017,154842153717.0,골목상권,종로24길,199432,452217,11110,11110615,37.56949290492456,126.99357054630521
1,1000109,164429364134.0,골목상권,성수이로7길,204848,449183,11200,11200690,37.542144071492224,127.05485669201654
2,1000113,154176475800.0,골목상권,아차산로11길,205275,449569,11200,11200690,37.545619583980304,127.05969110599031
3,1000201,103066041194.0,골목상권,장한로5길,205716,451743,11230,11230650,37.56520463235324,127.06469832491446
4,1000360,99893353554.0,골목상권,도봉로114길,203205,460886,11320,11320511,37.64759427158531,127.03631682587171
5,1000492,93807323424.0,골목상권,양화로1길,192015,450119,11440,11440680,37.55055558746798,126.90963698902888
6,1000644,118423450010.0,골목상권,디지털로32길,191191,442651,11530,11530540,37.48326124071472,126.90040159424703
7,1000727,107096064250.0,골목상권,영등포로27길,191114,446969,11560,11560550,37.52216587020949,126.899478854283
8,1000728,124748044806.0,골목상권,영등포로35길,191411,446916,11560,11560535,37.52169115109669,126.90283922372406
9,1000847,120936144205.0,골목상권,고무래로8길,200926,444577,11650,11650581,37.50065615765236,127.01047219056247
10,1000866,93136361897.0,골목상권,사평대로22길,199756,444289,11650,11650581,37.49806169167271,126.99724068456197
11,1000910,109784355818.0,골목상권,도산대로81길,204182,447512,11680,11680565,37.52709161309576,127.04731117656527
12,1000935,107470330044.0,골목상권,테헤란로81길,205020,445683,11680,11680580,37.51060809364278,127.05677902087957
13,1000954,111703714521.0,골목상권,삼전로13길,207717,445242,11710,11710650,37.506616065111956,127.0872789532716
14,1001011,113844451604.0,발달상권,서울 금천구 시흥1동_4,191286,439286,11545,11545670,37.452943165976684,126.90151548643851
15,1001015,128440430918.0,발달상권,서울 금천구 독산1동_1,190842,441181,11545,11545610,37.470013027610726,126.89647392543884
16,1001018,199037512320.0,발달상권,포이사거리_2,203907,441907,11650,11650652,37.47659145589457,127.04417032889133
17,1001020,166526894860.0,발달상권,장지역,210795,441986,11710,11710642,37.477248481146304,127.12204320261074
18,1001021,210147039576.0,발달상권,가산디지털단지역_1,189789,441401,11545,11545510,37.47198421841353,126.88456732142473
19,1001023,315651155565.0,발달상권,가산디지털단지역_2,189388,442499,11545,11545510,37.481872767274155,126.88001831527892
20,1001025,437134217203.0,발달상권,서울 관악구 서울대입구역_1,195788,442367,11620,11620595,37.48073475833174,126.95237888491067
21,1001027,790822475908.0,발달상권,가산디지털단지역_3,189955,442117,11545,11545510,37.47843725502126,126.8864341433713
22,1001031,114464116102.0,발달상권,서울 관악구 신림역_1,193706,442615,11620,11620645,37.4829574265654,126.92883756748512
23,1001033,386112838695.0,발달상권,서울 서초구 남부터미널역_1,201661,442764,11650,11650510,37.48431986735238,127.01878025964147
24,1001034,149119759691.0,발달상권,서울 서초구 방배역,199778,442583,11650,11650600,37.48269050762585,126.99748998969146
25,1001037,88472445786.0,발달상권,양재역,203187,442939,11680,11680655,37.48589262937304,127.03603488345209
26,1001038,432033535898.0,발달상권,구로디지탈1단지,190721,442712,11530,11530540,37.48380625597272,126.89508680818014
27,1001039,120382688224.0,발달상권,서울 서초구 남부터미널역_2,201211,442998,11650,11650530,37.48642892605263,127.01369267538392
28,1001041,170991974752.0,발달상권,서울 강남구 수서역,209143,443137,11680,11680750,37.48763689043684,127.10338078395336
29,1001044,138578809791.0,발달상권,양재역_3,202755,443008,11650,11650520,37.48651571376833,127.03115058953671
30,1001045,130083752626.0,발달상권,동작구 총신대입구역_1,198304,442948,11590,11590630,37.48597765914372,126.9808235857054
31,1001046,96285115378.0,발달상권,서울 관악구 신림역_4,193828,443001,11620,11620695,37.486436139402514,126.9302137115341
32,1001048,114445672980.0,발달상권,뱅뱅사거리,202638,443504,11650,11650520,37.49098505346684,127.02982945599554
33,1001050,222253705922.0,발달상권,교대역_1,201023,443482,11650,11650530,37.490790031276504,127.01156764763162
34,1001051,116182219097.0,발달상권,보라매공원,193371,443527,11590,11590680,37.49117227142047,126.92504171914183
35,1001052,105483940338.0,발달상권,뱅뱅사거리_2,202873,443583,11680,11680640,37.491696148423806,127.03248705054254
36,1001054,98411775507.0,발달상권,서울 강남구 대치역_2,205280,443785,11680,11680600,37.49350556247691,127.05970614658726
37,1001057,109629739846.0,발달상권,교대역_2,201412,443757,11650,11650510,37.493267288811936,127.01596682099772
38,1001060,1238504955531.0,발달상권,가락시장,210036,443852,11710,11710631,37.49406981478419,127.113487750174
39,1001062,201938821201.0,발달상권,서울 강남구 강남역_1,202416,443988,11650,11650520,37.495346534821586,127.02732075688415
40,1001063,118091293261.0,발달상권,교대역_4,201323,444027,11650,11650531,37.495700139276714,127.01496089901845
41,1001065,110686937255.0,발달상권,은마아파트입구사거리_1,205353,444275,11680,11680600,37.497920073164735,127.06053519233129
42,1001066,403927778330.0,발달상권,서울 강남구 강남역,202696,444064,11680,11680640,37.49603052520305,127.03048734774165
43,1001067,110372820910.0,발달상권,오류동역,186098,444015,11530,11530770,37.49548836626892,126.84279231806514
44,1001071,134721913381.0,발달상권,서울 강남구 한티역,204738,444303,11680,11680630,37.49817571394421,127.05358055707585
45,1001073,248848550832.0,발달상권,서울 강남구 역삼역_1,203107,444234,11680,11680640,37.49756094530639,127.03513580196903
46,1001077,115317693299.0,발달상권,선릉역_1,204125,444844,11680,11680650,37.50305309570303,127.04665136697915
47,1001078,546692871965.0,발달상권,서울 강남구 강남역_2,202176,444599,11650,11650531,37.500852279982624,127.02460858111792
48,1001081,163901329256.0,발달상권,서울 강남구 역삼역_2,203463,444856,11680,11680640,37.50316393578579,127.03916458764914
49,1001082,415961488077.0,발달상권,선릉역_2,204689,444957,11680,11680630,37.50406854038104,127.05303059892454
50,1001084,102375670744.0,발달상권,서울 강남구 선릉역_1,204433,445167,11680,11680590,37.505961915174254,127.0501366139763
51,1001085,743306893249.0,발달상권,서울 서초구 강남역,202701,444730,11680,11680640,37.50203121152806,127.03054633381461
52,1001086,271239323786.0,발달상권,고속터미널역,200518,445031,11650,11650581,37.50474704248736,127.00585841327658
53,1001087,176842847069.0,발달상권,서울 강남구 선릉역_2,204007,445054,11680,11680640,37.50494572617329,127.04531799918914
54,1001088,132627340921.0,발달상권,삼성역_1,205337,445247,11680,11680610,37.50667793699713,127.06036130395252
55,1001092,195614532682.0,발달상권,강남구 논현역_1,201940,445256,11650,11650560,37.506772411794465,127.02194136821261
56,1001093,254298558430.0,발달상권,신천역,207224,445640,11710,11710650,37.510206048895434,127.08170705738294
57,1001095,363289911900.0,발달상권,강남구 논현역_2,202208,445400,11680,11680521,37.50806925695847,127.02497287577978
58,1001096,166150503426.0,발달상권,신도림역,190279,445432,11530,11530510,37.50830905050998,126.89005341254958
59,1001098,113871608431.0,발달상권,포스코사거리_1,204775,445500,11680,11680590,37.50896055541883,127.05400674639628
60,1001099,111738458873.0,발달상권,포스코사거리_2,204973,445586,11680,11680580,37.50973437396545,127.05624676889406
61,1001101,93773012842.0,발달상권,선정릉역_2,204085,445833,11680,11680590,37.511964209812604,127.04620448208236
62,1001103,645469626637.0,발달상권,코엑스,205283,445735,11680,11680580,37.51107514837405,127.05975407071885
63,1001105,89553103279.0,발달상권,서울 동작구 노량진역,195061,445934,11590,11590510,37.51287005026375,126.94413544871195
64,1001107,190486018743.0,발달상권,방이동 먹자골목,209627,446080,11710,11710562,37.51414853328456,127.10889191070606
65,1001109,120690300320.0,발달상권,강남구 논현역_4,201666,445973,11650,11650540,37.513233149366116,127.01884405684132
66,1001110,157316580816.0,발달상권,잠실역,209063,446215,11710,11710710,37.51537059547255,127.10251412658317
67,1001111,90469413145.0,발달상권,서울 강남구 강남구청역_1,203483,446247,11680,11680531,37.515696832760256,127.03939736285625
68,1001113,1263769367123.0,발달상권,서울 동작구 노량진1동_1,194866,446148,11590,11590510,37.51479713410461,126.94192832963913
69,1001117,220523530832.0,발달상권,강남구 신사역_2,202085,446380,11680,11680521,37.51689938344783,127.02358450208524
70,1001119,87767869176.0,발달상권,영등포역_2,191929,446538,11560,11560535,37.51829003889983,126.90870310352355
71,1001120,99238743107.0,발달상권,도산공원사거리_1,202754,446796,11680,11680545,37.52064580299694,127.03115346079875
72,1001123,125172269416.0,발달상권,학동사거리_1,203226,446892,11680,11680531,37.52150923659847,127.036493181618
73,1001127,298877662529.0,발달상권,서울 영등포구 여의도역_1,193742,446787,11560,11560540,37.52054760665096,126.92920911701019
74,1001134,271852106199.0,발달상권,서울 영등포구 여의도역_2,193429,447136,11560,11560540,37.52368992835649,126.92566532469993
75,1001135,915139571394.0,발달상권,신사동 가로수길,202127,446882,11680,11680510,37.52142232327291,127.02406103782943
76,1001138,476924435103.0,발달상권,압구정 로데오거리_1,203788,447314,11680,11680565,37.52530933086134,127.04285281544146
77,1001140,358289620473.0,발달상권,서울 강남구 압구정역,202703,447288,11680,11680545,37.525078886063575,127.03057835407243
78,1001141,644946921131.0,발달상권,압구정 로데오거리_2,203288,447403,11680,11680545,37.52611313953564,127.03719682412944
79,1001144,209035458839.0,발달상권,국회의사당역_2,192947,447754,11560,11560540,37.529254558111724,126.92020675631002
80,1001145,2063387266305.0,발달상권,용산 전자상가_1,196497,447798,11170,11170625,37.52967130494357,126.96036901949611
81,1001147,1869145190305.0,발달상권,용산 전자상가_2,196988,448177,11170,11170625,37.53308783278587,126.96592236399441
82,1001150,101071631953.0,발달상권,서울 용산구 이태원역,199532,448274,11170,11170650,37.53396660171813,126.99470500630214
83,1001151,466015090877.0,발달상권,용산 전자상가_3,196249,448167,11170,11170570,37.53299502410429,126.95756140332672
84,1001152,383084860615.0,발달상권,서울 광진구 강변역,208480,448480,11215,11215870,37.53578380626318,127.09594579196927
85,1001155,859344741838.0,발달상권,용산 전자상가_5,196870,448350,11170,11170560,37.534646171341834,126.96458658036106
86,1001156,147132836616.0,발달상권,서울 강동구 길동역,212214,448512,11740,11740685,37.53603024424155,127.13819405734606
87,1001163,425085660943.0,발달상권,서울 강동구 천호역_2,211211,448887,11740,11740610,37.53942172192042,127.12685146616113
88,1001164,108208786974.0,발달상권,서울 마포구 마포역_1,195356,448929,11440,11440585,37.53985658258465,126.947453239336
89,1001165,174197226473.0,발달상권,서울 광진구 건대입구역_2,206151,449134,11215,11215710,37.54169481234147,127.06960014021577
90,1001166,179338930862.0,발달상권,서울 마포구 마포역_2,195156,449005,11440,11440590,37.54054031359572,126.94518974329746
91,1001173,139342140781.0,발달상권,서울 강동구 명일역,212716,450274,11740,11740530,37.551899020354725,127.14390438098211
92,1001175,167974609108.0,발달상권,서울 강동구 고덕역,213654,450446,11740,11740540,37.5534353171349,127.1545227012491
93,1001179,88015196060.0,발달상권,강서구청,186804,450362,11500,11500591,37.552685150793224,126.85066199138123
94,1001180,103674475591.0,발달상권,신촌역,194322,450528,11440,11440600,37.55425776075019,126.93574119173559
95,1001182,790109988781.0,발달상권,홍익대학교 주변,193065,450293,11440,11440660,37.55213181853304,126.9215177589102
96,1001185,323502125213.0,발달상권,서울 서대문구 신촌역,194426,450896,11410,11410585,37.55757406448483,126.93691538021643
97,1001196,225238194581.0,발달상권,시청역_1,197665,451342,11140,11140520,37.56160640625744,126.97357184570602
98,1001199,109772002982.0,발달상권,서울 중구 충무로역_2,199359,451475,11140,11140570,37.56280746670614,126.9927448740907
99,1001200,119200056805.0,발달상권,북창동,198022,451482,11140,11140520,37.562868636730556,126.97761208939609
100,1001202,133724127965.0,발달상권,롯데백화점,198292,451672,11140,11140520,37.56458106969132,126.9806676306135
101,1001203,399664244054.0,발달상권,명동거리,198608,451458,11140,11140550,37.562653468975135,126.98424475124476
102,1001204,221213452028.0,발달상권,서울 중구 을지로3가역_1,199308,451766,11140,11140605,37.56542932908629,126.99216735868663
103,1001205,124735165015.0,발달상권,동대문역사문화공원역,200426,451788,11140,11140590,37.56562770958554,127.00482184111223
104,1001208,477379601784.0,발달상권,서울 중구 을지로3가역_2,199279,451982,11140,11140605,37.567375458126826,126.99183889984383
105,1001209,136815971059.0,발달상권,서울시청,198186,452033,11140,11140550,37.56783346248198,126.97946695387179
106,1001213,147029568144.0,발달상권,종각역 젊음의 거리,198718,452194,11110,11110615,37.5692849591627,126.98548849171972
107,1001220,219110949666.0,발달상권,서울 종로구 동대문역_2,201137,452423,11110,11110670,37.57134842884826,127.01287054611977
108,1001221,150057436038.0,발달상권,장안동사거리,206311,452443,11230,11230660,37.571507714415674,127.0714390363011
109,1001223,157657442280.0,발달상권,서울 종로구 광화문역_2,197546,452523,11110,11110530,37.57224685728405,126.97222102081379
110,1001226,163808038225.0,발달상권,서울 종로구 종로5가역_2,199984,452662,11110,11110630,37.57350250845509,126.99981887891859
111,1001227,363225594955.0,발달상권,종로구청,198300,452598,11110,11110615,37.57292430335778,126.98075603397336
112,1001228,95563937363.0,발달상권,서울 종로구 종로5가역_3,200418,452563,11110,11110630,37.57261042876589,127.00473173180993
113,1001230,182129318365.0,발달상권,인사동,198703,452617,11110,11110615,37.57309614789577,126.98531795215405
114,1001232,236525417061.0,발달상권,서울 종로구 종로3가역_2,199097,452506,11110,11110615,37.572096513877035,126.98977817114893
115,1001233,430046404275.0,발달상권,서울 종로구 종로3가역_3,199463,452688,11110,11110615,37.57373661074855,126.99392110467875
116,1001238,133391506634.0,발달상권,서울 동대문구 청량리역,204139,453462,11230,11230560,37.580701163008214,127.04685826916042
117,1001239,168922093209.0,발달상권,디지털미디어시티,190290,453427,11440,11440740,37.580343931172585,126.89007210424492
118,1001242,93849517584.0,발달상권,혜화역 대학로_3,200023,453715,11110,11110650,37.58298997678076,127.00026039459195
119,1001245,123093007968.0,발달상권,서울 성북구 성신여대입구역,201566,454637,11290,11290575,37.591295798803905,127.01773144531104
120,1001251,120054504297.0,발달상권,서울 강북구 미아삼거리역_1,202720,457006,11305,11305545,37.612637575175675,127.03080671151173
121,1001254,126653186070.0,발달상권,서울 은평구 연신내역_2,192866,457727,11380,11380551,37.619110055177416,126.91919334022509
122,1001256,141701040925.0,발달상권,서울 강북구 수유역_1,202294,459771,11305,11305590,37.63755102369121,127.0259905098279
123,1001257,147784825929.0,발달상권,서울 강북구 수유역_2,202180,459896,11305,11305630,37.638677532281505,127.02469928811556
124,1001260,143748422839.0,발달상권,창동역,204324,461465,11320,11320514,37.652806377355745,127.04899997749135
125,1001263,213924287914.0,발달상권,서울 노원구 노원역_3,205516,461822,11350,11350640,37.65601649888629,127.0625105241541
126,1001273,460685243641.0,전통시장,남대문시장,198091,451149,11140,11140540,37.55986846331072,126.97839392940769
127,1001274,284951330175.0,전통시장,신중부시장,200023,451785,11140,11140590,37.56560077788206,127.00026033405094
128,1001276,439671382734.0,전통시장,평화시장,200710,452148,11140,11140590,37.56887111952541,127.00803675030764
129,1001277,201179528356.0,전통시장,방산종합시장,200011,452055,11140,11140605,37.56803346704921,127.0001245116387
130,1001314,389988063132.0,전통시장,경동시장,203447,453307,11230,11230545,37.57930747265717,127.03902330140541
131,1001315,167784475010.0,전통시장,동서시장,203658,453368,11230,11230545,37.57985626500525,127.0414123248943
132,1001316,221625947086.0,전통시장,서울약령시장,203313,453621,11230,11230545,37.58213708424979,127.03750771415709
133,1001319,294689442043.0,전통시장,청량리종합시장,203566,453322,11230,11230545,37.57944216868575,127.04037056666714
134,1001325,135979320470.0,전통시장,청량리청과물시장,203815,453397,11230,11230545,37.58011691623963,127.04318987696023
135,1001330,122382912644.0,전통시장,동원시장,208013,454486,11260,11260565,37.58990176352666,127.09072759033637
136,1001353,100340720592.0,전통시장,수유전통시장,202012,459062,11305,11305610,37.63116369707503,127.02279356147206
137,1001393,746510989065.0,전통시장,마포농수산물시장,190850,451572,11440,11440730,37.56363623278709,126.8964350575244
138,1001423,752927084806.0,전통시장,독산동 우시장,190850,440835,11545,11545610,37.46689561401845,126.89656865609972
139,1001430,560848609974.0,전통시장,영등포전통시장,191635,446406,11560,11560535,37.51709809859114,126.90537896348607
140,1001431,94408476103.0,전통시장,영등포청과시장,191226,446889,11560,11560550,37.52144614057811,126.90074678556344
141,1001449,102231262994.0,전통시장,남성사계시장,198305,443198,11590,11590630,37.488230181096164,126.98083431710904
142,1001471,135431592860.0,전통시장,영동전통시장,202138,445523,11680,11680521,37.50917765749701,127.0241815207913
143,1001491,319263592878.0,관광특구,이태원 관광특구,199503,448326,11170,11170650,37.534435107014495,126.9943768625423
144,1001492,1374959292839.0,관광특구,명동 남대문 북창동 다동 무교동 관광특구,198397,451624,11140,11140520,37.564148780123666,126.98185620077636
145,1001493,900887492671.0,관광특구,동대문패션타운 관광특구,200974,451975,11140,11140590,37.567312155725965,127.0110248333143
146,1001494,952259318256.0,관광특구,종로·청계 관광특구,199768,452273,11110,11110615,37.56999760824763,126.9973738673892
147,1001495,624689931100.0,관광특구,잠실 관광특구,210191,446339,11710,11710566,37.51647607488473,127.11527494608232
148,1001496,645469626637.0,관광특구,강남 마이스 관광특구,205310,445727,11680,11680580,37.511002913176945,127.06005939988393
